equipment_ID,total_records,average_risk_probability,high_risk_records,average_production,average_downtime,average_health_score,high_risk_rate
s_4,1001,52.454727,670,0.5682831186411758,0.09104183185611128,99.58174427358534,66.93306693306693
s_2,521,51.768135,306,0.4703410406286527,0.21191574285321382,99.5083890776917,58.73320537428023
s_1,1294,44.63259,378,0.6228471246016026,0.1631113502193616,99.67647586627407,29.21174652241113
s_5,1048,40.165115,214,0.7315156843805632,0.10501181498844431,99.7370799245774,20.419847328244277
s_3,806,39.21979,112,0.7136296292530325,0.14373524657988246,99.73660509290673,13.895781637717123
